NITERACOES,20
iter,0
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,77.77777777777779
iter,6
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,75.0
iter,7
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,2,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,77.77777777777779
iter,8
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,75.0
iter,9
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,2,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,1,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,72.22222222222221
iter,10
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,75.0
iter,11
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,77.77777777777779
iter,12
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,1,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,72.22222222222221
iter,13
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,75.0
iter,14
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,72.22222222222221
iter,15
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,2,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,72.22222222222221
iter,16
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,75.0
iter,17
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,77.77777777777779
iter,18
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,75.0
iter,19
C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2,0,0,0,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,3
Corretude,75.0
MATRIZ DE CONFUSAO ACUMULADA
2,0
40,0,0,0,0,0,0,0,20,0,0,0
0,60,0,0,0,0,0,0,0,0,0,0
0,32,20,2,0,0,0,0,0,6,0,0
0,0,0,60,0,0,0,0,0,0,0,0
0,0,0,0,44,0,0,0,16,0,0,0
0,0,0,0,0,60,0,0,0,0,0,0
0,0,34,0,0,0,20,6,0,0,0,0
0,0,0,0,0,5,15,40,0,0,0,0
20,0,0,0,0,0,0,0,40,0,0,0
0,0,0,0,4,0,0,0,0,40,16,0
0,0,0,0,0,0,3,2,0,0,55,0
0,0,0,0,0,0,0,0,0,0,0,60
